"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"18","Nashville Predators","207","12580.1667","113","78","16","101","242","0.585","12086","11534","51.17","9218","8699","51.45","6645","6372","51.05","599","580","50.81","552.5","544.63","50.36","5529","5439","50.41","3353","3395","49.69","484","470","50.73","14.43","86.16","2191","2224","49.63","1671","1702","49.54","320","305","51.20","19.15","82.08","3338","3215","50.94","1682","1693","49.84","164","165","49.85","9.75","90.25","5618","5136","52.24","2983","2641","53.04","94","95","49.74","3.15","96.40","9.01","90.90","0.999"
"19","New York Islanders","206","12546","115","67","24","103","254","0.617","10881","11971","47.62","8134","8726","48.24","6000","6249","48.98","564","506","52.71","535.92","528.36","50.36","5638","5808","49.26","3484","3396","50.64","481","399","54.66","13.81","88.25","2529","2261","52.80","1960","1701","53.54","353","286","55.24","18.01","83.19","3109","3547","46.71","1524","1695","47.34","128","113","53.11","8.40","93.33","4420","5205","45.92","2246","2546","46.87","70","94","42.68","3.12","96.31","9.40","91.90","1.013"
"20","New York Rangers","208","12618.4","96","87","25","88","217","0.522","10985","12531","46.71","8428","9503","47.00","6176","6821","47.52","630","642","49.53","552.4","623.09","46.99","5392","6103","46.91","3267","3676","47.05","507","532","48.80","15.52","85.53","2398","2631","47.68","1785","1916","48.23","351","333","51.32","19.66","82.62","2994","3472","46.30","1482","1760","45.71","156","199","43.94","10.53","88.69","4672","5444","46.18","2522","2781","47.56","104","98","51.49","4.12","96.48","10.20","90.59","1.008"
"21","Ottawa Senators","209","12666.7833","77","109","23","74","177","0.423","11489","13026","46.87","8721","9768","47.17","6267","7114","46.84","587","728","44.64","552.82","600.68","47.93","5593","6106","47.81","3306","3599","47.88","492","591","45.43","14.88","83.58","2451","2466","49.85","1793","1827","49.53","352","363","49.23","19.63","80.13","3142","3640","46.33","1513","1772","46.06","140","228","38.04","9.25","87.13","4870","5861","45.38","2543","3173","44.49","79","116","40.51","3.11","96.34","9.37","89.77","0.991"
"22","Philadelphia Flyers","207","12590.2167","103","81","23","92","229","0.553","11711","11287","50.92","8827","8498","50.95","6442","6278","50.64","628","668","48.46","545.91","534.52","50.53","5343","5289","50.25","3264","3226","50.29","513","528","49.28","15.72","83.63","2270","2192","50.87","1742","1679","50.92","345","341","50.29","19.80","79.69","3073","3097","49.81","1522","1547","49.59","168","187","47.32","11.04","87.91","5299","5034","51.28","2744","2660","50.78","98","121","44.75","3.57","95.45","9.75","89.36","0.991"
"23","Pittsburgh Penguins","207","12575.3","121","65","21","113","263","0.635","11566","11433","50.29","8827","8648","50.51","6622","6460","50.62","685","589","53.77","579.93","537.73","51.89","5688","5241","52.05","3666","3374","52.07","576","487","54.19","15.71","85.57","2411","2178","52.54","1910","1723","52.57","382","320","54.42","20.00","81.43","3277","3063","51.69","1756","1651","51.54","194","167","53.74","11.05","89.88","4948","5215","48.69","2600","2711","48.95","88","83","51.46","3.38","96.94","10.34","90.88","1.012"
"24","San Jose Sharks","208","12604.8333","96","91","21","89","213","0.512","12085","11472","51.30","9019","8647","51.05","6492","6256","50.93","615","679","47.53","595.58","573.26","50.95","5891","5664","50.98","3595","3517","50.55","506","557","47.60","14.08","84.16","2536","2443","50.93","1918","1816","51.37","338","371","47.67","17.62","79.57","3355","3221","51.02","1677","1701","49.64","168","186","47.46","10.02","89.07","5171","4810","51.81","2569","2364","52.08","96","103","48.24","3.74","95.64","9.47","89.15","0.986"
"25","St Louis Blues","209","12717.4","114","67","28","107","256","0.612","11362","11175","50.41","8572","8433","50.41","6406","6118","51.15","634","577","52.35","539.44","546.13","49.69","5645","5468","50.80","3500","3389","50.81","505","448","52.99","14.43","86.78","2151","2214","49.28","1628","1645","49.74","308","284","52.03","18.92","82.74","3494","3254","51.78","1872","1744","51.77","197","164","54.57","10.52","90.60","4841","4840","50.01","2591","2437","51.53","113","116","49.34","4.36","95.24","9.90","90.57","1.005"
"26","Tampa Bay Lightning","208","12612.0167","141","54","13","132","295","0.709","11704","11225","51.04","8933","8558","51.07","6489","6381","50.42","742","560","56.99","579.97","520.38","52.71","6007","5578","51.85","3773","3571","51.38","621","468","57.02","16.46","86.89","2252","2134","51.35","1739","1639","51.48","380","294","56.38","21.85","82.06","3755","3444","52.16","2034","1932","51.29","241","174","58.07","11.85","90.99","4976","4900","50.38","2441","2507","49.33","106","84","55.79","4.34","96.65","11.43","91.22","1.027"
"27","Toronto Maple Leafs","208","12608.0167","117","67","24","115","258","0.620","12771","11857","51.86","9610","9133","51.27","6790","6511","51.05","709","619","53.39","627.47","546.89","53.43","6795","5780","54.04","4033","3403","54.24","590","513","53.49","14.63","84.93","2680","2234","54.54","1995","1642","54.85","383","332","53.57","19.20","79.78","4115","3546","53.71","2038","1761","53.65","207","181","53.35","10.16","89.72","5125","5235","49.47","2488","2774","47.28","112","91","55.17","4.50","96.72","10.44","90.49","1.009"
"28","Vancouver Canucks","207","12588.3833","94","92","21","81","209","0.505","11437","12340","48.10","8618","9214","48.33","6215","6764","47.89","591","649","47.66","522.17","602.26","46.44","5388","6373","45.81","3147","3825","45.14","479","532","47.38","15.22","86.09","2088","2435","46.16","1518","1854","45.02","286","342","45.54","18.84","81.55","3300","3938","45.59","1629","1971","45.25","193","190","50.39","11.85","90.36","5062","5130","49.67","2658","2660","49.98","94","105","47.24","3.54","96.05","9.51","90.41","0.999"
"29","Vegas Golden Knights","209","12669.45","122","70","17","115","261","0.624","13178","11123","54.23","9822","8207","54.48","7096","6011","54.14","660","559","54.14","644.12","529.74","54.87","6521","5358","54.90","3991","3241","55.19","535","450","54.31","13.41","86.12","2664","2171","55.10","1975","1636","54.69","345","312","52.51","17.47","80.93","3857","3187","54.76","2016","1605","55.68","190","138","57.93","9.42","91.40","5562","4801","53.67","2742","2418","53.14","109","96","53.17","3.98","96.03","9.30","90.70","1.000"
"30","Winnipeg Jets","209","12648.6","114","81","14","109","242","0.579","11664","12122","49.04","8828","9294","48.71","6441","6769","48.76","653","596","52.28","541.6","597.78","47.53","5486","5830","48.48","3330","3609","47.99","534","496","51.84","16.04","86.26","2098","2539","45.24","1556","1866","45.47","340","345","49.64","21.85","81.51","3388","3291","50.73","1774","1743","50.44","194","151","56.23","10.94","91.34","5286","5320","49.84","2802","2806","49.96","99","85","53.80","3.53","96.97","10.14","91.20","1.013"
"31","Washington Capitals","207","12592.3333","125","61","21","114","271","0.655","11764","11631","50.28","8958","8763","50.55","6348","6282","50.26","698","621","52.92","573.87","562.57","50.50","5555","5557","49.99","3264","3285","49.84","528","513","50.72","16.18","84.38","2207","2408","47.82","1597","1736","47.91","342","344","49.85","21.42","80.18","3348","3149","51.53","1667","1549","51.83","186","169","52.39","11.16","89.09","5215","5009","51.01","2703","2593","51.04","143","90","61.37","5.29","96.53","11.00","90.11","1.011"
